"year","code","product","country","type","value"
"2001-01","TOTAL","All products","Росія","1",5778991
"2001-01","TOTAL","All products","США","1",442157
"2002-01","TOTAL","All products","загалом","1",16975884
"2002-01","TOTAL","All products","Азія","1",3434372
"2002-01","TOTAL","All products","Африка","1",177245
"2002-01","TOTAL","All products","ЄС","1",5436780
"2002-01","TOTAL","All products","Росія","1",6299107
"2002-01","TOTAL","All products","США","1",464002
"2003-01","TOTAL","All products","загалом","1",23020438
"2003-01","TOTAL","All products","Азія","1",4363247
"2003-01","TOTAL","All products","Африка","1",248758
"2003-01","TOTAL","All products","ЄС","1",7884076
"2003-01","TOTAL","All products","Росія","1",8645594
"2003-01","TOTAL","All products","США","1",498851
"2004-01","TOTAL","All products","загалом","1",28996784
"2004-01","TOTAL","All products","Азія","1",4940102
"2004-01","TOTAL","All products","Африка","1",277417
"2004-01","TOTAL","All products","ЄС","1",9374755
"2004-01","TOTAL","All products","Росія","1",11653098
"2004-01","TOTAL","All products","США","1",556776
"2005-01","TOTAL","All products","загалом","1",36121997
"2005-01","TOTAL","All products","Азія","1",7695371
"2005-01","TOTAL","All products","Африка","1",425958
"2005-01","TOTAL","All products","ЄС","1",12209987
"2005-01","TOTAL","All products","Росія","1",12842463
"2005-01","TOTAL","All products","США","1",710285
"2006-01","TOTAL","All products","загалом","1",45021621
"2006-01","TOTAL","All products","Азія","1",10960727
"2006-01","TOTAL","All products","Африка","1",413020
"2006-01","TOTAL","All products","ЄС","1",16225966
"2006-01","TOTAL","All products","Росія","1",13787221
"2006-01","TOTAL","All products","США","1",879772
"2007-01","TOTAL","All products","загалом","1",60600581
"2007-01","TOTAL","All products","Азія","1",15885481
"2007-01","TOTAL","All products","Африка","1",673084
"2007-01","TOTAL","All products","ЄС","1",22270600
"2007-01","TOTAL","All products","Росія","1",16838246
"2007-01","TOTAL","All products","США","1",1408163
"2008-01","TOTAL","All products","загалом","1",85448381
"2008-01","TOTAL","All products","Азія","1",26161845
"2008-01","TOTAL","All products","Африка","1",1558935
"2008-01","TOTAL","All products","ЄС","1",28914577
"2008-01","TOTAL","All products","Росія","1",19413626
"2008-01","TOTAL","All products","США","1",2812807
"2009-01","TOTAL","All products","загалом","1",45412944
"2009-01","TOTAL","All products","Азія","1",11055299
"2009-01","TOTAL","All products","Африка","1",617578
"2009-01","TOTAL","All products","ЄС","1",15422914
"2009-01","TOTAL","All products","Росія","1",13235749
"2009-01","TOTAL","All products","США","1",1289340
"2010-01","TOTAL","All products","загалом","1",60737135
"2010-01","TOTAL","All products","Азія","1",11619222
"2010-01","TOTAL","All products","Африка","1",874411
"2010-01","TOTAL","All products","ЄС","1",19150331
"2010-01","TOTAL","All products","Росія","1",22198006
"2010-01","TOTAL","All products","США","1",1772945
"2011-01","TOTAL","All products","загалом","1",82607537
"2011-01","TOTAL","All products","Азія","1",16630734
"2011-01","TOTAL","All products","Африка","1",940560
"2011-01","TOTAL","All products","ЄС","1",25807587
"2011-01","TOTAL","All products","Росія","1",29132198
"2011-01","TOTAL","All products","США","1",2600758
"2012-01","TOTAL","All products","загалом","1",84656667
"2012-01","TOTAL","All products","Азія","1",18581407
"2012-01","TOTAL","All products","Африка","1",850934
"2012-01","TOTAL","All products","ЄС","1",26228974
"2012-01","TOTAL","All products","Росія","1",27418296
"2012-01","TOTAL","All products","США","1",2914260
"2013-01","TOTAL","All products","загалом","1",76986013
"2013-01","TOTAL","All products","Азія","1",15857172
"2013-01","TOTAL","All products","Африка","1",749799
"2013-01","TOTAL","All products","ЄС","1",27047570
"2013-01","TOTAL","All products","Росія","1",23243994
"2013-01","TOTAL","All products","США","1",2770420
"2014-01","TOTAL","All products","загалом","1",54381409
"2014-01","TOTAL","All products","Азія","1",11117083
"2014-01","TOTAL","All products","Африка","1",679208
"2014-01","TOTAL","All products","ЄС","1",21060616
"2014-01","TOTAL","All products","Росія","1",12678683
"2014-01","TOTAL","All products","США","1",1931904
"2015-01","TOTAL","All products","загалом","1",37516153
"2015-01","TOTAL","All products","Азія","1",7567784
"2015-01","TOTAL","All products","Африка","1",601693
"2015-01","TOTAL","All products","ЄС","1",15330722
"2015-01","TOTAL","All products","Росія","1",7492718
"2015-01","TOTAL","All products","США","1",1483940
