"year","code","product","country","Exported","Imported"
2001,"02","М'ясо і харчові м'ясні субпродукти","cases",NA,75069
2001,"02","М'ясо і харчові м'ясні субпродукти","Росія",159172,NA
2001,"02","М'ясо і харчові м'ясні субпродукти","США",NA,54328
2001,"0207","Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen","cases",451,NA
2001,"04","Молочні продукти; яйця птахів; натуральний мед; харчові продукти тваринного походження","Африка",3185,NA
2001,"04","Молочні продукти; яйця птахів; натуральний мед; харчові продукти тваринного походження","Росія",158637,NA
2001,"04","Молочні продукти; яйця птахів; натуральний мед; харчові продукти тваринного походження","США",116,NA
2001,"0409","Натуральний мед","cases",1414,NA
2001,"08","Edible fruit and nuts; peel of citrus fruit or melons","Африка",NA,1664
2001,"0802","Інші горіхи, свіжі або сушені, неочищені або очищені","cases",8100,NA
2001,"10","Злаки","all",483727,NA
2001,"10","Злаки","Азія",171101,21671
2001,"10","Злаки","Африка",93821,7113
2001,"10","Злаки","ЄС",118278,NA
2001,"12","Оліюваті насіння і плоди; різниі зернові, насіння і плоди; промислові або лікарські рослини; солома і корм","Азія",17571,NA
2001,"12","Оліюваті насіння і плоди; різниі зернові, насіння і плоди; промислові або лікарські рослини; солома і корм","Африка",2983,NA
2001,"12","Оліюваті насіння і плоди; різниі зернові, насіння і плоди; промислові або лікарські рослини; солома і корм","ЄС",94707,NA
2001,"15","Тваринні або рослинні жири і масла та продукти їх розщеплення; готові харчові жири; тваринні або рослинні воски","all",225475,NA
2001,"15","Тваринні або рослинні жири і масла та продукти їх розщеплення; готові харчові жири; тваринні або рослинні воски","Азія",28371,NA
2001,"15","Тваринні або рослинні жири і масла та продукти їх розщеплення; готові харчові жири; тваринні або рослинні воски","Африка",29179,NA
2001,"15","Тваринні або рослинні жири і масла та продукти їх розщеплення; готові харчові жири; тваринні або рослинні воски","ЄС",31499,NA
2001,"15","Тваринні або рослинні жири і масла та продукти їх розщеплення; готові харчові жири; тваринні або рослинні воски","США",2427,NA
2001,"18","Cocoa and cocoa preparations","Африка",NA,27766
2001,"1806","Шоколад та інші готові харчові продукти з вмістом какао","cases",100073,19902
2001,"2203","Пиво із солоду","cases",24900,NA
2001,"2204","Вино з свіжого винограду, вкл. кріплені вина","cases",NA,18199
2001,"23","Residues and waste from the food industries; prepared animal fodder","Африка",12618,NA
2001,"24","Тютюн і промислові замінники тютюну","cases",41012,158249
2001,"24","Тютюн і промислові замінники тютюну","Африка",1,20912
2001,"24","Тютюн і промислові замінники тютюну","США",NA,20416
2001,"25","Salt; sulphur; earths and stone; plastering materials, lime and cement","Африка",NA,10364
2001,"26","Руди, шлак і зола","all",427353,NA
2001,"26","Руди, шлак і зола","Азія",8696,NA
2001,"26","Руди, шлак і зола","Африка",NA,112530
2001,"26","Руди, шлак і зола","ЄС",77747,NA
2001,"26","Руди, шлак і зола","Росія",NA,117047
2001,"26","Руди, шлак і зола","США",16828,NA
2001,"27","Мінеральне паливо, мінеральні масла і продукти її перегонки; бітумінозні речовини; мінеральні воски","all",1186400,6253474
2001,"27","Мінеральне паливо, мінеральні масла і продукти її перегонки; бітумінозні речовини; мінеральні воски","Азія",35623,2433650
2001,"27","Мінеральне паливо, мінеральні масла і продукти її перегонки; бітумінозні речовини; мінеральні воски","ЄС",348262,160231
2001,"27","Мінеральне паливо, мінеральні масла і продукти її перегонки; бітумінозні речовини; мінеральні воски","Росія",34228,3399490
2001,"27","Мінеральне паливо, мінеральні масла і продукти її перегонки; бітумінозні речовини; мінеральні воски","США",78147,12111
2001,"28","Неорганічні хімічні речовини; органічні або неорганічні сполуки дорогоцінних металів, рідкоземельних металів, радіоактивних елементів або ізотопів","all",549635,NA
2001,"28","Неорганічні хімічні речовини; органічні або неорганічні сполуки дорогоцінних металів, рідкоземельних металів, радіоактивних елементів або ізотопів","Африка",27449,NA
2001,"28","Неорганічні хімічні речовини; органічні або неорганічні сполуки дорогоцінних металів, рідкоземельних металів, радіоактивних елементів або ізотопів","Росія",213346,NA
2001,"28","Неорганічні хімічні речовини; органічні або неорганічні сполуки дорогоцінних металів, рідкоземельних металів, радіоактивних елементів або ізотопів","США",31587,NA
2001,"29","Органічні хімічні речовини","Росія",NA,44164
2001,"30","Фармацевтичні товари","all",NA,341816
2001,"30","Фармацевтичні товари","ЄС",NA,253251
2001,"30","Фармацевтичні товари","США",NA,11616
2001,"31","Добрива","Азія",155367,NA
2001,"31","Добрива","Африка",31036,NA
